INDICE;NIVEL;DESCRICAO
1;0;DESPESA TOTAL
2;1;DESPESAS CORRENTES
3;11;DESPESAS DE CONSUMO
4;1101;ALIMENTACAO
5;1102;HABITACAO
6;110201;ALUGUEL
7;1102011;ALUGUEL MONETARIO
8;1102012;ALUGUEL NAO MONETARIO
9;110202;CONDOMINIO
10;110203;SERVICOS E TAXAS
11;1102031;ENERGIA ELETRICA
12;1102032;TELEFONE FIXO
13;1102033;TELEFONE CELULAR
14;1102034;PACOTE DE TELEFONE, TV E INTERNET
15;1102035;GAS DOMESTICO
16;1102036;AGUA E ESGOTO
17;1102037;OUTRAS
18;110204;MANUTENCAO DO LAR
19;110205;ARTIGOS DE LIMPEZA
20;110206;MOBILIARIOS E ARTIGOS DO LAR
21;110207;ELETRODOMESTICOS
22;110208;CONSERTOS DE ARTIGOS DO LAR
23;1103;VESTUARIO
24;110301;ROUPA DE HOMEM
25;110302;ROUPA DE MULHER
26;110303;ROUPA DE CRIANCA
27;110304;CALCADOS E APETRECHOS
28;110305;JOIAS E BIJUTERIAS
29;110306;TECIDOS E ARMARINHOS
30;1104;TRANSPORTE
31;110401;URBANO
32;110402;GASOLINA PARA VEICULO PROPRIO
33;110403;ALCOOL PARA VEICULO PROPRIO
34;110404;MANUTENCAO – VEICULO PROPRIO
35;110405;AQUISICAO DE VEICULOS
36;110406;VIAGENS ESPORADICAS
37;110407;OUTRAS
38;1105;HIGIENE E CUIDADOS PESSOAIS
39;110501;PERFUME
40;110502;PRODUTOS PARA CABELO
41;110503;SABONETE
42;110504;INSTRUMENTOS E PRODUTOS DE USO PESSOAL
43;1106;ASSISTENCIA A SAUDE
44;110601;REMEDIOS
45;110602;PLANO / SEGURO SAUDE
46;110603;CONSULTA E TRATAMENTO DENTARIO
47;110604;CONSULTA MEDICA
48;110605;TRATAMENTO MEDICO E AMBULATORIAL
49;110606;SERVICOS DE CIRURGIA
50;110607;HOSPITALIZACAO
51;110608;EXAMES DIVERSOS
52;110609;MATERIAL DE TRATAMENTO
53;110610;OUTRAS
54;1107;EDUCACAO
55;110701;CURSOS REGULARES
56;110702;CURSO SUPERIOR
57;110703;OUTROS CURSOS
58;110704;LIVROS DIDATICOS E REVISTAS TECNICAS
59;110705;ARTIGOS ESCOLARES
60;110706;OUTRAS
61;1108;RECREACAO E CULTURA
62;110801;BRINQUEDOS E JOGOS
63;110802;CELULAR E ACESSORIOS
64;110803;PERIODICOS, LIVROS E REVISTAS NAO DIDATICOS
65;110804;RECREACOES E ESPORTES
66;110805;OUTRAS
67;1109;FUMO
68;1110;SERVICOS PESSOAIS
69;111001;CABELEREIRO
70;111002;MANICURO E PEDICURO
71;111003;CONSERTOS DE ARTIGOS PESSOAIS
72;111004;OUTRAS
73;1111;DESPESAS DIVERSAS
74;111101;JOGOS E APOSTAS
75;111102;COMUNICACAO
76;111103;CERIMONIAS E FESTAS
77;111104;SERVICOS PROFISSIONAIS
78;111105;IMOVEIS DE USO OCASIONAL
79;111106;OUTRAS
80;12;OUTRAS DESPESAS CORRENTES
81;1201;IMPOSTOS
82;1202;CONTRIBUICOES TRABALHISTAS
83;1203;SERVICOS BANCARIOS
84;1204;PENSOES, MESADAS E DOACOES
85;1205;PREVIDENCIA PRIVADA
86;1206;OUTRAS
87;2;AUMENTO DO ATIVO
88;21;IMOVEL (AQUISICAO)
89;22;IMOVEL (REFORMA)
90;23;OUTROS INVESTIMENTOS
91;3;DIMINUICAO DO PASSIVO
92;31;EMPRESTIMOS
93;32;PRESTACAO DO IMOVEL
