NOME;UF_SIGLA;REGIAO;LOCAL;INICIO;FINAL
Rondônia;RO;NORTE;CAPITAL;1101;1102
Acre;AC;NORTE;CAPITAL;1201;1201
Amazonas;AM;NORTE;CAPITAL;1301;1306
Roraima;RR;NORTE;CAPITAL;1401;1402
Pará;PA;NORTE;CAPITAL;1501;1503
Amapá;AP;NORTE;CAPITAL;1601;1602
Tocantins;TO;NORTE;CAPITAL;1701;1701
Maranhão;MA;NORDESTE;CAPITAL;2101;2103
Piauí;PI;NORDESTE;CAPITAL;2201;2203
Ceará;CE;NORDESTE;CAPITAL;2301;2306
Rio Grande do Norte;RN;NORDESTE;CAPITAL;2401;2402
Paraíba;PB;NORDESTE;CAPITAL;2501;2503
Pernambuco;PE;NORDESTE;CAPITAL;2601;2603
Alagoas;AL;NORDESTE;CAPITAL;2701;2703
Sergipe;SE;NORDESTE;CAPITAL;2801;2802
Bahia;BA;NORDESTE;CAPITAL;2901;2906
Minas Gerais;MG;SUDESTE;CAPITAL;3101;3106
Espírito Santo;ES;SUDESTE;CAPITAL;3201;3202
Rio de Janeiro;RJ;SUDESTE;CAPITAL;3301;3309
São Paulo;SP;SUDESTE;CAPITAL;3501;3509
Paraná;PR;SUL;CAPITAL;4101;4105
Santa Catarina;SC;SUL;CAPITAL;4201;4202
Rio Grande Do Sul;RS;SUL;CAPITAL;4301;4306
Mato Grosso do Sul;MS;CENTRO-OESTE;CAPITAL;5001;5003
Mato Grosso;MT;CENTRO-OESTE;CAPITAL;5101;5102
Goiás;GO;CENTRO-OESTE;CAPITAL;5201;5203
Rondônia;RO;NORTE;RESTO_RM;;
Acre;AC;NORTE;RESTO_RM;;
Amazonas;AM;NORTE;RESTO_RM;1307;1307
Roraima;RR;NORTE;RESTO_RM;;
Pará;PA;NORTE;RESTO_RM;1504;1505
Amapá;AP;NORTE;RESTO_RM;1603;1603
Tocantins;TO;NORTE;RESTO_RM;;
Maranhão;MA;NORDESTE;RESTO_RM;2104;2104
Piauí;PI;NORDESTE;RESTO_RM;;
